frequency_shift,S11_magnitude,Q_factor,phase_shift,label
0.1478,-17.2,22.1,44.7,5% turpentine
0.1675,-14.72,16.7,40.7,10% turpentine
0.1498,-17.89,22.7,43.5,5% turpentine
0.2013,-11.87,13.3,36.7,15% turpentine
0.1656,-16.57,17.4,41,10% kerosene
0.2244,-10.89,12.7,34.9,20% kerosene
0.1693,-15.79,17.7,42.3,10% kerosene
0.1011,-21.8,28.4,48.6,pure
0.1677,-16.51,18.4,41.3,10% kerosene
0.1699,-14.95,16.8,40.4,10% turpentine
0.1351,-18.07,21.9,45,5% turpentine
0.1684,-14.01,17.9,40.3,10% turpentine
0.1782,-14.89,16.7,40.3,10% turpentine
0.107,-20.58,25.1,49.9,pure
0.2241,-10.73,11.7,34.4,20% kerosene
0.239,-10.97,10.2,33.9,20% turpentine
0.1869,-13.4,16.4,38.3,15% kerosene
0.2275,-10.9,13,34.4,20% kerosene
0.2374,-10.31,10,31.7,20% turpentine
0.1606,-15.38,20,41.3,10% kerosene
0.2265,-10.9,12.4,35.3,20% kerosene
0.2391,-10.22,10.9,33.8,20% turpentine
0.2359,-10.5,12.4,33.1,20% turpentine
0.2007,-12.05,14.9,36.2,15% turpentine
0.2094,-12.32,14.2,35.3,15% turpentine
0.157,-16.94,19.3,42.2,10% kerosene
0.2463,-10.31,12.5,33.2,20% turpentine
0.2153,-10.13,11.4,35.2,20% kerosene
0.2093,-12.02,13.3,35.1,15% turpentine
0.1349,-17.86,21.3,44.7,5% kerosene
0.2067,-12.71,13.7,35.8,15% turpentine
0.1007,-21.93,28,48.8,pure
0.1584,-15.07,17,42.9,10% kerosene
0.1375,-18.34,21.9,44.4,5% turpentine
0.1102,-20.88,28.9,48.7,pure
0.2356,-9.65,11.4,32.9,20% turpentine
0.1947,-13.39,14.1,38.3,15% kerosene
0.1884,-12.92,16.2,39.3,15% kerosene
0.1448,-17.67,20.3,43.8,5% turpentine
0.227,-11.23,13,34.5,20% kerosene
0.2066,-12.84,14.3,35.4,15% turpentine
0.1885,-12.65,15.2,39.1,15% kerosene
0.1059,-21.63,29.8,49.4,pure
0.1311,-18.65,21.5,44.5,5% kerosene
0.1496,-17.05,22.2,43.3,5% turpentine
0.1903,-12.52,15.8,38.5,15% kerosene
0.2281,-10.02,13.3,34.8,20% kerosene
0.175,-14.79,17.7,40.6,10% turpentine
0.1675,-15.25,16.1,40.5,10% turpentine
0.2181,-11.48,11.4,35.8,20% kerosene
0.1708,-14.83,16.5,39.7,10% turpentine
0.2191,-10.67,13,35.7,20% kerosene
0.208,-12.51,13.7,36.3,15% turpentine
0.2298,-10.71,11.5,34.5,20% kerosene
0.2117,-11.94,13.1,35.6,15% turpentine
0.1132,-21.5,27.1,49.4,pure
0.1676,-16.06,18.2,41.5,10% kerosene
0.206,-12.78,13.7,35.1,15% turpentine
0.1693,-15.22,18.4,42.2,10% kerosene
0.2446,-10.9,11.7,32.7,20% turpentine
0.0965,-20.03,28.9,48,pure
0.2453,-10.34,10.8,33.5,20% turpentine
0.2187,-10.77,11.7,36,20% kerosene
0.1072,-21.72,26.5,48.4,pure
0.1386,-18.82,22,45.9,5% kerosene
0.1871,-13.74,15.5,38.8,15% kerosene
0.2449,-9.66,11.9,32.8,20% turpentine
0.1738,-14.2,16.4,39.2,10% turpentine
0.2191,-10.61,12.1,34.2,20% kerosene
0.1563,-15.03,18.1,41.7,10% kerosene
0.1401,-17.28,20.2,44.8,5% turpentine
0.1867,-13.4,16.9,39.7,15% kerosene
0.1914,-12.9,16.8,39.9,15% kerosene
0.2499,-10.45,11.3,33.2,20% turpentine
0.1643,-16.26,18.4,42.5,10% kerosene
