frequency_shift,S11_magnitude,Q_factor,phase_shift,label
0.235,-9.51,10.9,32.0,20% turpentine
0.214,-10.16,14.1,36.9,15% turpentine
0.2079,-10.5,13.9,33.1,20% kerosene
0.1628,-18.2,19.9,44.4,5% turpentine
0.2382,-10.24,12.4,33.0,20% turpentine
0.1528,-15.97,16.7,40.6,10% turpentine
0.1857,-14.04,14.9,40.3,15% kerosene
0.1271,-17.85,21.6,43.9,5% kerosene
0.1054,-17.1,22.8,43.4,5% kerosene
0.1089,-20.61,27.8,47.8,pure
0.2323,-9.96,13.1,31.5,20% turpentine
0.1518,-16.09,18.2,39.7,15% kerosene
0.1287,-18.2,23.3,43.1,5% turpentine
0.2499,-11.09,13.6,32.8,20% turpentine
0.0951,-19.78,25.3,47.9,pure
0.2379,-10.42,15.3,32.5,20% kerosene
0.1557,-14.63,18.4,42.5,10% kerosene
0.1463,-17.44,22.2,43.5,5% turpentine
0.0951,-21.13,27.9,47.9,pure
0.16,-17.39,23.7,45.7,5% kerosene
0.1954,-10.9,13.0,35.5,15% turpentine
0.1355,-15.48,18.6,41.2,10% turpentine
0.1464,-18.19,23.2,44.1,5% turpentine
0.2251,-10.68,14.2,37.9,15% turpentine
0.2081,-11.33,15.4,34.8,15% turpentine
0.1514,-16.64,21.9,43.2,5% kerosene
0.0951,-21.11,26.2,48.0,pure
0.2374,-9.84,12.4,32.3,20% turpentine
0.2117,-9.51,13.6,36.5,20% kerosene
0.1968,-14.25,22.5,43.6,10% kerosene
0.2373,-9.68,13.6,32.2,20% turpentine
0.1608,-13.76,17.4,39.9,15% kerosene
0.1909,-13.78,18.5,48.0,10% turpentine
0.2454,-9.72,15.9,33.4,20% kerosene
0.2394,-9.89,14.0,35.9,20% kerosene
0.2032,-12.96,17.3,41.4,15% kerosene
0.1998,-10.73,13.4,35.1,15% turpentine
0.2108,-9.51,16.5,35.2,15% turpentine
0.1473,-12.75,18.3,39.8,10% turpentine
0.1728,-16.99,22.4,42.5,5% turpentine
0.1008,-21.29,29.2,49.9,pure
0.2178,-11.1,11.7,34.9,15% turpentine
0.166,-13.86,19.7,40.4,10% turpentine
0.2409,-9.6,12.6,33.4,20% turpentine
0.1767,-13.99,17.4,41.7,10% kerosene
0.1678,-14.45,12.9,39.3,10% turpentine
0.1368,-11.92,14.4,35.7,15% turpentine
0.2429,-11.56,14.7,34.5,20% kerosene
0.2499,-10.13,12.4,31.9,20% turpentine
0.2188,-10.71,12.0,33.6,20% kerosene
0.2181,-9.51,13.3,35.8,15% turpentine
0.1396,-17.71,22.8,44.7,5% kerosene
0.2245,-10.17,13.3,33.6,20% kerosene
0.1455,-17.33,22.3,44.3,5% turpentine
0.2389,-10.59,13.7,34.2,20% kerosene
0.1301,-16.31,22.9,45.1,5% kerosene
0.1719,-13.26,18.6,41.0,10% turpentine
0.2081,-12.01,18.1,39.4,10% turpentine
0.225,-13.93,13.0,35.2,15% turpentine
0.1234,-17.66,22.1,42.0,5% turpentine
0.0951,-21.15,27.0,48.9,pure
0.197,-13.47,14.7,40.6,15% kerosene
0.2424,-11.03,16.0,35.1,15% turpentine
0.1846,-15.5,15.9,40.3,15% kerosene
0.0992,-21.4,28.3,48.3,pure
0.0975,-21.92,26.8,47.1,pure
0.2023,-14.59,16.9,40.9,10% turpentine
0.1283,-17.63,23.2,44.9,5% turpentine
0.2499,-10.83,13.6,33.3,20% turpentine
0.2415,-11.27,14.0,34.3,20% kerosene
0.2018,-10.92,15.2,35.8,15% turpentine
0.0951,-21.53,27.1,47.4,pure
0.1674,-11.64,12.9,38.7,15% kerosene
0.0951,-18.6,22.5,42.9,5% kerosene
0.1189,-17.03,22.9,45.7,5% kerosene
0.1808,-14.65,19.4,40.0,10% turpentine
0.153,-12.93,16.8,44.2,10% kerosene
0.2392,-10.01,11.5,32.2,20% turpentine
0.1467,-13.85,17.9,41.1,10% turpentine
0.1931,-12.92,21.3,39.1,15% kerosene
0.0951,-21.98,27.0,49.7,pure
0.1199,-16.92,22.5,43.1,5% kerosene
0.1194,-14.15,19.6,39.0,10% kerosene
0.1835,-13.2,12.8,39.3,15% kerosene
0.0951,-20.91,26.3,48.6,pure
0.2308,-14.13,15.8,39.1,15% kerosene
0.1664,-16.91,22.4,44.4,5% kerosene
0.1603,-13.59,19.0,40.0,10% turpentine
0.201,-15.57,17.1,44.7,10% kerosene
0.0966,-20.07,29.9,46.8,pure
0.1816,-13.8,16.3,42.6,10% kerosene
0.2116,-10.94,11.2,33.2,15% turpentine
0.198,-12.35,17.8,39.8,15% kerosene
0.2327,-10.58,14.7,34.5,15% turpentine
0.0951,-21.5,29.9,48.2,pure
0.2028,-10.82,14.6,35.5,15% turpentine
0.1534,-13.75,17.3,45.1,10% kerosene
0.1688,-15.55,24.0,43.4,10% kerosene
0.1442,-10.83,12.5,34.4,20% kerosene
0.1473,-13.51,14.2,38.9,15% kerosene
0.147,-13.51,18.9,40.2,10% turpentine
0.2397,-11.88,13.8,35.0,20% kerosene
0.1821,-15.22,18.4,40.1,10% turpentine
0.1681,-14.16,18.6,39.1,10% turpentine
0.1666,-17.36,23.5,45.0,5% kerosene
0.0951,-20.61,29.2,47.8,pure
0.145,-18.52,23.9,44.6,5% turpentine
0.0991,-20.35,15.2,46.4,pure
0.0951,-19.61,28.6,48.5,pure
0.2258,-10.22,11.8,35.0,20% kerosene
0.1547,-18.36,23.0,44.1,5% turpentine
0.2374,-10.08,13.2,33.5,20% turpentine
