frequency_shift,S11_magnitude,Q_factor,phase_shift,label
0.2342,-11.11,12.5,35.4,10% turpentine
0.1332,-17.14,22.3,44.3,20% kerosene
0.2008,-14.58,16.2,37.2,5% turpentine
0.173,-16.09,18.4,42.9,20% turpentine
0.1383,-14.68,18.7,46.5,pure
0.1689,-14.55,16.5,42.4,10% turpentine
0.1367,-20.0,22.6,47.5,20% kerosene
0.1427,-19.44,21.4,45.6,15% turpentine
0.1859,-12.31,18.0,39.2,5% kerosene
0.1894,-13.5,17.0,39.6,15% kerosene
0.1945,-14.27,16.2,37.2,pure
0.1584,-16.0,22.1,40.3,10% turpentine
0.1455,-17.76,17.0,39.8,5% turpentine
0.2162,-12.05,14.5,36.3,10% kerosene
0.1057,-19.48,25.2,46.0,pure
0.237,-10.76,11.7,33.0,5% kerosene
0.2432,-11.04,11.2,32.0,15% turpentine
0.1814,-16.78,18.3,42.7,20% kerosene
0.1659,-16.01,17.5,43.2,10% turpentine
0.0997,-21.52,29.5,49.3,10% kerosene
0.1004,-20.13,24.6,47.9,10% turpentine
0.1132,-20.3,25.1,45.7,pure
0.0976,-21.98,29.9,49.8,10% turpentine
0.1285,-14.6,21.2,45.9,10% turpentine
0.2019,-11.74,15.5,35.3,15% kerosene
0.0951,-21.98,29.9,49.8,pure
0.2224,-10.1,11.8,33.2,pure
0.1073,-20.32,23.5,47.1,10% turpentine
0.2348,-10.9,11.5,34.2,5% kerosene
0.1511,-15.13,18.0,43.5,5% kerosene
0.2338,-10.89,14.9,33.6,20% turpentine
0.1244,-18.28,27.1,46.3,10% turpentine
0.2398,-9.85,10.7,33.3,15% kerosene
0.1032,-20.18,25.3,47.5,15% kerosene
0.1745,-14.73,18.0,37.4,5% kerosene
0.2318,-10.52,12.7,33.4,10% kerosene
0.2496,-9.56,10.2,31.1,10% kerosene
0.1954,-13.83,14.0,38.0,pure
0.191,-11.69,12.6,36.3,5% kerosene
0.2266,-11.44,16.5,37.4,10% kerosene
0.2497,-9.53,10.0,31.2,15% turpentine
0.1689,-16.71,22.4,44.5,pure
0.0984,-21.12,26.5,48.9,10% kerosene
0.0992,-21.27,28.9,49.5,pure
0.1721,-16.76,20.6,43.5,15% kerosene
0.1626,-16.61,20.2,42.5,5% turpentine
0.2296,-10.95,13.8,33.5,20% turpentine
0.2495,-9.52,10.1,31.4,pure
0.1554,-15.17,17.3,43.2,15% turpentine
0.1267,-21.0,27.2,45.3,20% kerosene
0.2023,-13.96,16.4,38.9,20% kerosene
0.1109,-20.37,24.7,45.5,15% turpentine
0.2029,-12.22,16.0,40.4,5% kerosene
0.1656,-15.87,14.5,43.2,20% turpentine
0.1288,-19.86,23.7,48.2,5% kerosene
0.1347,-17.68,21.8,44.2,pure
0.1345,-17.66,23.7,46.5,5% kerosene
0.2196,-14.12,14.4,36.2,10% turpentine
0.2395,-11.01,11.4,33.5,10% kerosene
0.2005,-13.02,16.8,39.6,15% turpentine
0.2088,-11.09,12.3,36.2,20% turpentine
0.104,-21.24,27.5,48.7,10% kerosene
0.1924,-13.69,14.8,39.2,pure
0.2364,-11.04,14.4,34.2,10% kerosene
0.1319,-19.95,22.3,43.1,10% kerosene
0.235,-10.03,13.4,33.6,5% kerosene
0.1988,-11.98,16.2,37.5,10% kerosene
0.2162,-10.81,11.9,33.5,10% turpentine
0.2076,-11.78,15.2,36.3,20% turpentine
0.1623,-16.68,22.4,42.0,20% turpentine
0.1413,-14.92,18.5,44.0,5% kerosene
0.1798,-14.05,20.0,40.6,5% turpentine
0.1427,-19.4,24.1,46.6,10% turpentine
0.2265,-10.81,12.9,34.5,pure
0.1973,-12.43,13.5,38.1,20% kerosene
0.2223,-15.67,16.3,40.0,5% turpentine
0.1262,-19.93,23.6,47.2,20% turpentine
0.1838,-15.36,16.6,39.6,pure
0.1751,-16.46,16.0,40.6,10% kerosene
0.2203,-11.25,12.8,35.5,5% kerosene
0.1773,-14.34,17.2,41.1,5% turpentine
0.1252,-18.78,22.6,43.6,20% turpentine
0.1133,-18.58,24.7,46.8,15% kerosene
0.2163,-12.41,14.8,40.3,15% turpentine
