Adulterant,Adulteration,frequency_shift,sensitivity,S11,q_factor
Soy Refined Oil,10,1.26988695799613,0.10686491382083901,-9.34836440258579,26.4646590217131
Palm Oil,40,1.46059299529075,0.21748014991719125,-8.941856809973102,59.342548074569
Olive Oil,20,1.36480951026492,0.18831845108160417,-9.211347967600572,38.7588313958941
Soy Refined Oil,25,1.7152342787066,0.2824091622167768,-8.295427315937886,71.063490317985
Olive Oil,10,1.29881355454056,0.19385035835891812,-8.861063785999807,28.406284826772
Palm Oil,20,1.28612984939951,0.1400700556514501,-9.078366467150206,41.7269328571733
Palm Oil,5,1.29433482537813,0.10519825773074183,-9.396228159903224,20.8428405829005
Olive Oil,45,1.69070719717584,0.35008003767619,-7.141754797624712,61.6002468373906
Palm Oil,35,1.71879568089103,0.2895150920873163,-7.558044289623795,64.487630856572
Olive Oil,30,1.53577023995109,0.28825726510901145,-7.46521782823975,39.5798109842786
Palm Oil,15,1.32477111651609,0.11707228222506406,-9.401557745626034,28.1346159602842
Soy Refined Oil,5,1.53326185044193,0.17459742833179864,-9.457182601724076,41.1189530974081
Soy Refined Oil,30,1.50855778489655,0.20466952693295554,-8.422455253268467,62.051249672429
Palm Oil,40,1.67590774680503,0.3008962112855166,-7.192852211567431,63.7060332599202
Palm Oil,50,1.75491166145918,0.36171166530353155,-7.0148628837797276,68.1178643805644
Olive Oil,40,1.67208640647983,0.21395579531393058,-7.09277091153149,57.4977498352189
Olive Oil,35,1.72842167399938,0.2983624756181552,-8.031238124093012,49.6844825653517
Soy Refined Oil,25,1.55068821446981,0.2767017391166842,-8.149752411976785,48.687834527888
Palm Oil,50,1.74606406072064,0.3284552251826535,-8.293789164540819,74.2770280892463
Olive Oil,45,1.63598275087237,0.3206055194904255,-7.017978009990226,60.9459893279363
Palm Oil,50,1.63653585188476,0.27409295878089174,-8.819345471185303,63.2942104964754
Soy Refined Oil,50,1.71828060953814,0.3174213437220458,-7.281193360145064,62.6168866561454
Soy Refined Oil,30,1.59777598810908,0.24558406174782324,-9.09182258256836,47.1676970132726
Palm Oil,40,1.45886587978065,0.2623202479198688,-7.6227910948484805,53.250691519233
Palm Oil,10,1.31786501248419,0.19694162482141261,-9.25591920716559,37.3414299379353
Palm Oil,45,1.71036116439074,0.30856338776829,-6.652974346571206,61.7159080991795
Olive Oil,30,1.6319491688868,0.2536861681702345,-8.801851571621501,35.3743502814595
Soy Refined Oil,10,1.22223793863892,0.20831346818556287,-7.740064479989236,27.6541207085668
Soy Refined Oil,20,1.49209832680397,0.21889216483914775,-9.110914849148328,31.942048452222
Olive Oil,35,1.52229716827097,0.2531554382641213,-8.276899597952742,48.4023194178487
Olive Oil,15,1.62836243537589,0.2597524193240754,-9.754256678194299,54.0013910280547
Palm Oil,40,1.70414576002106,0.3032283653838824,-7.039123495043114,59.6595293350631
Soy Refined Oil,40,1.61999857842426,0.24756718939744074,-9.020594894732453,47.7915739872971
Olive Oil,45,1.45403631778549,0.19614286739215384,-7.0236231418672475,52.6057009441758
Olive Oil,20,1.39646548793688,0.22010101641600338,-8.764909478098538,35.2997728241081
Soy Refined Oil,5,1.28758725446324,0.10409441069879764,-9.800311458022962,22.8784835007104
Palm Oil,5,1.25530794699941,0.11788462569991442,-9.790907860029051,28.7208149864156
Palm Oil,50,1.70471407107604,0.32444925489629317,-7.410834479869246,57.0856626046264
Soy Refined Oil,50,1.73483436272927,0.33754406410307985,-7.36720378425402,57.1376043311083
Soy Refined Oil,15,1.35690128536693,0.21952548422348844,-9.590159189584917,34.9305237045239
Palm Oil,50,1.76520982161383,0.3659549820000129,-6.504411849066183,67.6459890883342
Palm Oil,10,1.41580639740775,0.21133476232424564,-9.926936587810058,39.9759277237638
Palm Oil,50,1.64854966650041,0.3278866659594441,-6.681037148448308,60.9376821073692
Palm Oil,40,1.6603097509856,0.32141534068538435,-7.362010721815943,51.8830262022124
Olive Oil,30,1.52598571689932,0.25604921356855725,-8.2563295223072,55.8733101110086
Soy Refined Oil,25,1.5050253085545,0.2391811243476079,-8.245620281284278,43.0651998994662
Palm Oil,40,1.4606514913733,0.24829580474600038,-7.900744890385516,56.2436976031529
Olive Oil,45,1.57149936564649,0.31567685209596175,-7.541208974573037,61.127961289128
Palm Oil,40,1.44331056318892,0.2552135869783243,-8.81840695157362,35.90421564501
Olive Oil,20,1.54893063492563,0.15823278347651076,-9.97920315163634,31.7991777856451
