Adulterant,Adulteration,frequency_shift,sensitivity,S11,q_factor
Soy Refined Oil,10,1.3139896721473,0.17381251916829027,-9.486120812337239,35.5539353933165
Palm Oil,5,1.41472771367272,0.2690677574692511,-8.431792931601983,50.3573858758767
Olive Oil,25,1.35424868582694,0.17132005926422994,-9.284735454457085,37.4728555958097
Olive Oil,10,1.36415122527786,0.1951697402878813,-8.901124290671293,55.7320101344621
Olive Oil,5,1.22288437712076,0.10272384637199479,-10.188673562475607,26.3323620619851
Soy Refined Oil,15,1.66602686531523,0.3455077194355514,-8.24244690952331,63.3850528304656
Palm Oil,30,1.64609955414911,0.28465344798841286,-8.290857863958404,61.1993645993198
Soy Refined Oil,35,1.52670236022966,0.2653235524355114,-8.498456481689114,51.1883348417846
Palm Oil,10,1.58385664292839,0.2882860666267164,-8.355808264170204,57.3642613376742
Palm Oil,45,1.58245533456497,0.3228798524158864,-7.861540124012537,71.4044162535534
Soy Refined Oil,35,1.50778593951129,0.23733329134491046,-9.021954948119802,65.5789308248755
Olive Oil,40,1.51932225869419,0.24985355445592417,-8.165923586793317,62.3268270636302
Olive Oil,35,1.6975003937051,0.3431667963643379,-8.336319763143148,62.9293294413052
Soy Refined Oil,50,1.43627881093363,0.19295956822991855,-8.843717933500832,37.4636941450001
Palm Oil,25,1.71184660284991,0.34692713062952374,-7.894427508968502,69.8837284648848
Soy Refined Oil,5,1.48489412809587,0.30098205232839004,-8.69481891490836,52.3949667902749
Olive Oil,25,1.42878887598746,0.23884669652640284,-8.355013932822562,60.0187485813552
Palm Oil,40,1.72820033321979,0.360321217994939,-6.6642588331551735,71.0679239983812
Olive Oil,35,1.39575235516251,0.21517621393060327,-8.502948910014922,38.2692629944543
Palm Oil,45,1.35361520605159,0.14881647059828285,-8.056696185020938,47.4754780185254
Olive Oil,50,1.27354700570118,0.20324544177747952,-8.633837071467086,47.6059001227756
Palm Oil,30,1.41262604824104,0.20845280646787068,-7.829606416129525,35.0319233129244
Palm Oil,45,1.62186878242597,0.32888614940970884,-6.954384153498878,67.9715680196152
Soy Refined Oil,50,1.37049178122299,0.16625202685616303,-10.112565074715436,43.450305618826
Soy Refined Oil,20,1.44484408625284,0.20941420330930022,-8.372262223082439,45.5302708845084
Palm Oil,20,1.26662095197933,0.14789477868558998,-8.71103717823247,39.2884104833947
